trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.6, 'e': 0.9860878780673167}",20,0,-46.890896127842694,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
168,False,"{'a': 0.6, 'e': 0.9859211602132415}",30,7,-306.93767140854754,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 7}",1
169,False,"{'a': 0.6, 'e': 0.9857534564380882}",35,12,-53.33353100815928,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
170,False,"{'a': 0.6, 'e': 0.9855847669095608}",30,0,-96.46457523715941,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
171,False,"{'a': 0.6, 'e': 0.9854150917963483}",30,0,-81.60933114221113,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
172,False,"{'a': 0.6, 'e': 0.9852444312681263}",25,0,-127.19655114319168,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
173,False,"{'a': 0.6, 'e': 0.9850727854955552}",30,12,-72.76181760209975,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 0}",1
174,False,"{'a': 0.6, 'e': 0.9849001546502806}",25,0,-111.62738910612569,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
175,False,"{'a': 0.6, 'e': 0.9847265389049334}",20,9,-87.27958717259901,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 2}",1
176,False,"{'a': 0.6, 'e': 0.9845519384331295}",25,6,-91.71062123670032,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 1}",1
177,False,"{'a': 0.6, 'e': 0.984376353409469}",20,0,-154.31450430645552,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
178,False,"{'a': 0.6, 'e': 0.9841997840095373}",25,0,-65.10703186711422,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
179,False,"{'a': 0.6, 'e': 0.9840222304099036}",30,0,-106.42750640789669,"{0: 15, 1: 7, 2: 7, 3: 1, 4: 0}",0
180,False,"{'a': 0.6, 'e': 0.9838436927881214}",20,0,-107.33933036915333,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
181,False,"{'a': 0.6, 'e': 0.9836641713227284}",25,0,-176.5018405782108,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
